node_id	namespace	identifier	name
194	pubchem.compound	158	7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]hept-5-enoic acid
195	umls	C0000832	Premature separation of placenta
196	umls	C0003862	Arthralgia
197	umls	C0004096	Asthma
198	umls	C0006266	Bronchospasm
199	umls	C0011175	Dehydration
200	umls	C0012739	Disseminated intravascular coagulation
201	umls	C0013927	Amniotic fluid embolism
202	umls	C1868769	Anaphylactoid syndrome of pregnancy
203	umls	C0014179	Endometritis
204	umls	C0015930	Foetal distress syndrome
205	umls	C0016382	Flushing
206	umls	C0018790	Cardiac arrest
207	umls	C0018811	Foetal heart rate
208	umls	C0019521	Hiccups
209	umls	C0021053	Immune system disorder
210	umls	C0021368	Inflammation
211	umls	C0023067	Laryngitis
212	umls	C0026821	Cramp muscle
213	umls	C0027051	Myocardial infarction
214	umls	C0948089	Acute coronary syndrome
215	umls	C0032797	Postpartum haemorrhage
216	umls	C0032961	Pregnancy
217	umls	C0036973	Shivering
218	umls	C0040822	Tremor
219	umls	C0042143	Uterine rupture
220	umls	C0042267	Vaginal inflammation
221	umls	C0404521	Vaginal infection
222	umls	C0042996	Vulvitis
223	umls	C0079043	Bronchoconstriction
224	umls	C0080274	Urinary retention
225	umls	C0151315	Neck stiffness
226	umls	C0948525	Musculoskeletal stiffness
227	umls	C1320474	Nuchal rigidity
228	umls	C0151604	Oedema genital
229	umls	C0151827	Eye pain
230	umls	C0151907	Skin discolouration
231	umls	C0232292	Chest tightness
232	umls	C0235710	Chest discomfort
233	umls	C0236082	Vaginal pain
234	umls	C0520588	Vulvovaginal pain
235	umls	C0262397	Breast tenderness
236	umls	C0269806	Failed induction of labour
237	umls	C0269842	Uterine hypertonus
238	umls	C0344232	Vision blurred
239	umls	C0392618	Postoperative infection
240	umls	C1868855	Post procedural infection
241	umls	C0410916	Death neonatal
242	umls	C0424535	Vasovagal symptoms
243	umls	C0700200	Presyncope
244	umls	C0558368	Vaginal irritation
245	umls	C0520587	Vulvovaginal discomfort
246	umls	C0595939	Stillbirth
247	umls	C0600142	Hot flush
248	umls	C0236075	Menopausal symptoms
249	umls	C0700590	Sweating increased
250	umls	C0020458	Hyperhidrosis
251	umls	C1384666	Hearing impaired
252	umls	C0011053	Deafness
253	umls	C2004487	Vaginismus
254	pubchem.compound	159	5-[5-hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid
255	umls	C0003864	Arthritis
256	umls	C0003962	Ascites
257	umls	C0007642	Cellulitis
258	umls	C0007859	Neck pain
259	umls	C0009326	Collagen disorder
260	umls	C0009782	Connective tissue disorder
261	umls	C0010520	Cyanosis
262	umls	C0013595	Eczema
263	umls	C0014130	Endocrine disorder
264	umls	C0014591	Epistaxis
265	umls	C0016204	Flatulence
266	umls	C0018801	Cardiac failure
267	umls	C0018965	Haematuria
268	umls	C0019123	Haemothorax
269	umls	C0020532	Hypersplenism
270	umls	C0020550	Hyperthyroidism
271	umls	C0020651	Orthostatic hypotension
272	umls	C0025061	Mediastinal disorder
273	umls	C0026858	Musculoskeletal pain
274	umls	C0030232	Pallor
275	umls	C0030312	Pancytopenia
276	umls	C0032227	Pleural effusion
277	umls	C0032285	Pneumonia
278	umls	C0032326	Pneumothorax
279	umls	C0034063	Pulmonary oedema
280	umls	C0034065	Pulmonary embolism
281	umls	C0036690	Septicemia
282	umls	C0243026	Sepsis
283	umls	C0037299	Skin ulcer
284	umls	C0038002	Splenomegaly
285	umls	C0038990	Sweating
286	umls	C0039971	Thirst
287	umls	C0042401	Vasodilation
288	umls	C1142412	Vasodilation procedure
289	umls	C0043352	Dry mouth
290	umls	C0085096	Peripheral vascular disorder
291	umls	C0085605	Hepatic failure
292	umls	C0085631	Agitation
293	umls	C0086525	Lassitude
294	umls	C0232487	Abdominal discomfort
295	umls	C0232488	Abdominal colic
296	umls	C0235527	Cardiac failure right
297	umls	C2939447	Right ventricular failure
298	umls	C0236000	Pain in jaw
299	umls	C0242184	Hypoxia
300	umls	C0267596	Rectal haemorrhage
301	umls	C0270458	Psychotic depression
302	umls	C1269683	Major depression
303	umls	C0392025	Enlargement abdomen
304	umls	C0000731	Abdominal distension
305	umls	C0392171	Influenza-like symptoms
306	umls	C0521839	Influenza like illness
307	umls	C0392386	Platelet count decreased
308	umls	C0424295	Hyperkinesia
309	umls	C0428977	Bradycardia
310	umls	C0521491	Application site pain
311	umls	C0858797	Instillation site pain
312	umls	C0860239	Catheter related infection
313	umls	C1619702	Device related infection
314	umls	C1141861	Procedural complication
315	umls	C1285577	Acute confusional state
316	umls	C2830004	Somnolence
317	pubchem.compound	160	7-[3,5-dihydroxy-2-(3-hydroxyoct-1-enyl)cyclopentyl]hept-5-enoic acid
318	umls	C0002631	Amniotic cavity infection
319	umls	C0015944	Premature rupture of membranes
320	umls	C0410959	Foetal acidosis
321	pubchem.compound	175	acetate
322	umls	C0001122	Acidosis
323	umls	C0020488	Hypernatraemia
324	pubchem.compound	187	2-acetyloxyethyl(trimethyl)azanium
325	umls	C0010037	Corneal oedema
326	umls	C0010038	Corneal opacity
327	umls	C0948284	Corneal decompensation
328	pubchem.compound	191	2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol
329	umls	C0003578	Apnoea
330	umls	C0004245	Atrioventricular block
331	umls	C0013144	Drowsiness
332	umls	C0020578	Hyperventilation
333	umls	C0027424	Nasal congestion
334	umls	C0028643	Numbness
335	umls	C0278134	Sensory loss
336	umls	C0033036	Supraventricular extrasystoles
337	umls	C0036454	Scotoma
338	umls	C0037188	Sinoatrial block
339	umls	C2747891	Device capturing issue
340	umls	C0038454	Cerebrovascular accident
341	umls	C0039239	Sinus tachycardia
342	umls	C0040264	Tinnitus
343	umls	C0040479	Torsade de pointes
344	umls	C0042510	Ventricular fibrillation
345	umls	C0042514	Ventricular tachycardia
346	umls	C0085606	Micturition urgency
347	umls	C0042023	Pollakiuria
348	umls	C0085612	Ventricular arrhythmia
349	umls	C0085614	Atrioventricular block first degree
350	umls	C0085624	Burning sensation
351	umls	C0085633	Mood swings
352	umls	C0233472	Affect lability
353	umls	C0151517	Atrioventricular block complete
354	umls	C0151636	Ventricular extrasystoles
355	umls	C0151699	Haemorrhage intracranial
356	umls	C0151740	Intracranial pressure increased
357	umls	C0151744	Myocardial ischaemia
358	umls	C0162297	Respiratory arrest
359	umls	C0220870	Lightheadedness
360	umls	C0232124	Skipped beats
361	umls	C0340464	Extrasystoles
362	umls	C0233485	Apprehension
363	umls	C0235004	Head pressure
364	umls	C0235169	Excitability
365	umls	C0235706	Back distress
366	umls	C0236071	Throat tightness
367	umls	C0240327	Taste metallic
368	umls	C0264906	Atrioventricular block second degree
369	umls	C0438716	Chest pressure
370	umls	C0494475	Tonic-clonic seizures
371	umls	C0014549	Grand mal convulsion
372	umls	C0497247	Blood pressure increased
373	umls	C0520886	Electrocardiogram ST segment elevation
374	umls	C0520887	Electrocardiogram ST segment depression
375	umls	C0541782	Sinus arrest
376	umls	C0750194	Non-sustained ventricular tachycardia
377	umls	C0854303	Limb discomfort
378	umls	C0857153	Nodal block
379	umls	C0858924	General discomfort
380	umls	C0948296	Ear discomfort
381	umls	C1096250	Gastrointestinal discomfort
382	umls	C1956346	Coronary artery disease
383	umls	C2242996	Tingling sensation
384	pubchem.compound	206	6-(hydroxymethyl)oxane-2,3,4,5-tetrol
385	umls	C0000833	Abscess
386	umls	C0007682	Central nervous system disorder
387	umls	C0009421	Coma
388	umls	C0018802	Cardiac failure congestive
389	umls	C0019054	Haemolysis
390	umls	C0020621	Hypokalaemia
391	umls	C0022107	Irritability
392	umls	C0027540	Necrosis
393	umls	C0031542	Phlebitis
394	umls	C0036104	Salivation
395	umls	C0037036	Salivary hypersecretion
396	umls	C0040046	Thrombophlebitis
397	umls	C0042487	Venous thrombosis
398	umls	C0423153	Lacrimation
399	umls	C0152227	Lacrimation increased
400	umls	C0542203	Water retention
401	umls	C0268000	Fluid retention
402	pubchem.compound	214	7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]heptanoic acid
403	umls	C0002884	Hypochromic anaemia
404	umls	C0003460	Anuria
405	umls	C0004690	Balanitis
406	umls	C0012691	Joint dislocation
407	umls	C0013491	Ecchymosis
408	umls	C0016059	Fibrosis
409	umls	C0016658	Fracture
410	umls	C0016655	Multiple fractures
411	umls	C0018944	Haematoma
412	umls	C0019294	Inguinal hernia
413	umls	C0020433	Hyperbilirubinaemia
414	umls	C0020440	Hypercapnia
415	umls	C0860713	Carbon dioxide increased
416	umls	C0020443	Hypercholesterolaemia
417	umls	C0020452	Hyperaemia
418	umls	C0020456	Hyperglycaemia
419	umls	C0020557	Hypertriglyceridaemia
420	umls	C0853692	Blood triglycerides increased
421	umls	C0020564	Hypertrophy
422	umls	C0020615	Hypoglycaemia
423	umls	C0020672	Body temperature decreased
424	umls	C0413252	Hypothermia
425	umls	C0023222	Leg pain
426	umls	C0030196	Pain in extremity
427	umls	C0026961	Mydriasis
428	umls	C0028259	Nodule
429	umls	C0030794	Pelvic pain
430	umls	C0030846	Penis disorder
431	umls	C0030848	Peyronie's disease
432	umls	C0031154	Peritonitis
433	umls	C0031538	Tight foreskin
434	umls	C0345326	Phimosis
435	umls	C0032319	Pneumopericardium
436	umls	C0033117	Priapism
437	umls	C0033575	Prostatic disorder
438	umls	C0033581	Prostatitis
439	umls	C0036679	Separation
440	umls	C1619718	Partner stress
441	umls	C0037286	Neoplasm skin
442	umls	C0037859	Spermatocele
443	umls	C0038999	Swelling
444	umls	C0039240	Supraventricular tachycardia
445	umls	C0039242	Tachyphylaxis
446	umls	C0039584	Testicular disorder
447	umls	C0039591	Testicular pain
448	umls	C0041912	Upper respiratory tract infection
449	umls	C0041969	Urethral disorder
450	umls	C0043246	Laceration
451	umls	C0043251	Trauma
452	umls	C0151605	Injection site swelling
453	umls	C0151609	Scrotal oedema
454	umls	C0151698	Injection site haemorrhage
455	umls	C0151734	Injection site inflammation
456	umls	C0156308	Penile oedema
457	umls	C0178703	Hypertrophic osteoarthropathy
458	umls	C0231451	Joint hyperextension
459	umls	C0231835	Tachypnoea
460	umls	C0231837	Respiratory rate decreased
461	umls	C0233973	Painful erection
462	umls	C0235063	Respiratory depression
463	umls	C0855775	Pulmonary function test decreased
464	umls	C0235129	Feeling strange
465	umls	C0236083	Burning feeling vagina
466	umls	C1963790	Vulvovaginal burning sensation
467	umls	C0240717	Perineal pain
468	umls	C0241558	Urethral haemorrhage
469	umls	C0241863	Diabetic
470	umls	C0011849	Diabetes mellitus
471	umls	C0268919	Scrotal disorder
472	umls	C0332575	Redness
473	umls	C0340279	Ventricular hypertrophy
474	umls	C0427008	Stiffness
475	umls	C0476273	Respiratory distress
476	umls	C0497481	Penile pain
477	umls	C0518988	Tooth abscess
478	umls	C0520962	Pain localised
479	umls	C0521508	Injection site bruising
480	umls	C0521845	Drug effect decreased
481	umls	C0522061	Abdominal pain localised
482	umls	C0542008	Injection site haematoma
483	umls	C0549209	Feeling jittery
484	umls	C0750466	Yeast infection
485	umls	C0026946	Fungal infection
486	umls	C0852908	Drug ineffective
487	umls	C0852995	Injection site pruritus
488	umls	C0853714	Application site pruritus
489	umls	C0853813	Local reaction
490	umls	C0863113	Hypotension symptomatic
491	umls	C0877267	Peritonsillitis
492	umls	C0877377	Skin tear
493	umls	C0948873	Flu symptoms
494	umls	C1504465	Device malfunction
495	umls	C2004489	Regurgitation
496	umls	C2242621	Erection prolonged
497	umls	C0541941	Erection increased
498	umls	C2937350	Abnormal ejaculation
499	umls	C0235969	Ejaculation disorder
500	umls	C2937358	Cerebral haemorrhage
501	umls	C2938970	Penile curvature
502	umls	C2938972	Penile haematoma
503	umls	C3665386	Abnormal vision
504	umls	C3665347	Visual impairment
505	umls	C0005411	Atresia biliary
506	umls	C0266241	Congenital absence of bile ducts
507	umls	C0025958	Microcephaly
508	pubchem.compound	222	azane
509	pubchem.compound	232	2-amino-5-(diaminomethylideneamino)pentanoic acid
510	umls	C0002895	Sickle cell anaemia
511	umls	C0006114	Edema cerebral
512	umls	C0008301	Choking
513	umls	C0027429	Nasal obstruction
514	umls	C0151799	Skin necrosis
515	umls	C0221201	Rash macular
516	umls	C0549433	Surgical intervention
517	umls	C0543467	Surgery
518	umls	C0750876	Phlebitis superficial
519	umls	C1168149	Perioral tingling
520	umls	C0521591	Paraesthesia oral
521	pubchem.compound	244	phenylmethanol
522	umls	C0034212	Pyoderma
523	umls	C1323189	Dermatitis infected
524	umls	C0221244	Dandruff
525	umls	C0234943	Application site anaesthesia
526	umls	C0235266	Eye irritation
527	umls	C0521495	Application site rash
528	umls	C0701836	Thermal burn
529	umls	C0877098	Application site dryness
530	umls	C1142498	Application site excoriation
531	umls	C1696574	Application site erosion
532	pubchem.compound	247	2-(trimethylazaniumyl)acetate
533	umls	C0017675	Glossitis
534	umls	C0019880	Homocystinuria
535	umls	C0031212	Personality disorder
536	umls	C0037317	Sleep disturbance
537	umls	C0851578	Sleep disorder
538	umls	C0040435	Tooth disorder
539	umls	C0042024	Urinary incontinence
540	umls	C0042075	Urinary tract disorder
541	umls	C0162429	Malnutrition
542	umls	C0235309	Upset stomach
543	umls	C0268621	Hypermethioninaemia
544	umls	C0541799	Bad taste
545	umls	C0548823	Distress gastrointestinal
546	umls	C0700198	Aspiration
547	pubchem.compound	271	calcium(2+)
548	umls	C0006663	Calcinosis
549	umls	C0011206	Delirium
550	umls	C0085618	Venospasm
551	umls	C0085616	Vasospasm
552	umls	C0085628	Stupor
553	umls	C0549249	Depressed level of consciousness
554	umls	C0522171	Sense of oppression
555	umls	C1328540	Peripheral vasodilatation
556	umls	C0595862	Vasodilatation
557	umls	C3267206	Chalky taste
558	pubchem.compound	297	methane
559	umls	C0001883	Airway obstruction NOS
560	umls	C0600260	Obstructive airways disorder
561	umls	C0006272	Obliterative bronchiolitis
562	umls	C0021843	Intestinal obstruction
563	umls	C0236124	Gastrointestinal obstruction
564	pubchem.compound	298	2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide
565	umls	C0001824	Agranulocytosis
566	umls	C0002874	Aplastic anaemia
567	umls	C0014356	Enterocolitis
568	umls	C0018939	Blood disorder
569	umls	C0023418	Leukaemia
570	umls	C0024790	Paroxysmal nocturnal haemoglobinuria
571	umls	C0027813	Neuritis
572	umls	C0041466	Typhoid fever
573	umls	C0151773	Bone marrow depression
574	umls	C0155169	Ocular hyperaemia
575	umls	C0014236	Endophthalmitis
576	umls	C0178416	Hypoplastic anaemia
577	umls	C0221203	Rash vesicular
578	umls	C0221477	Vasomotor collapse
579	umls	C0259756	Jarisch-Herxheimer reaction
580	umls	C0270276	Grey syndrome neonatal
581	umls	C0270996	Eye swelling
582	umls	C0425492	Respiration irregularity
583	umls	C0035204	Respiratory disorder
584	umls	C0542184	Reaction gastrointestinal
585	umls	C0687133	Drug interaction
586	umls	C0853040	Reaction to drug excipients
587	umls	C1368107	Bone marrow aplastic
588	umls	C1761613	Conjunctival hyperaemia
589	pubchem.compound	303	4-(3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid
590	umls	C0014869	Reflux esophagitis
591	umls	C0017168	Gastrooesophageal reflux disease
592	umls	C0022346	Jaundice
593	umls	C0037284	Skin lesion
594	umls	C0438717	Transaminases increased
595	umls	C0859350	Serum transaminase increased
596	pubchem.compound	305	2-hydroxyethyl(trimethyl)azanium
597	pubchem.compound	311	2-hydroxypropane-1,2,3-tricarboxylic acid
598	umls	C0020598	Hypocalcaemia
599	umls	C0085632	Apathy
600	umls	C0233471	Flat affect
601	umls	C0234518	Slurred speech
602	umls	C0013362	Dysarthria
603	umls	C0344375	Stomach cramps
604	umls	C0429029	Electrocardiogram ST segment
605	umls	C0429097	QRS complex
606	umls	C0429098	Electrocardiogram QRS complex
607	umls	C0728899	Intoxication
608	umls	C0032343	Poisoning
609	umls	C0860967	Calcium low
610	umls	C3665624	Blood calcium decreased
611	umls	C0948342	Citrate toxicity
612	umls	C0948807	Hepatic impairment
613	umls	C0023895	Liver disorder
614	umls	C1504494	Tingling of extremity
615	umls	C2129214	Loose stools
616	umls	C2697368	Gastrointestinal tract irritation
617	pubchem.compound	312	chloride
618	umls	C0017181	Gastrointestinal haemorrhage
619	umls	C0020625	Hyponatraemia
620	umls	C1112525	Gastrointestinal ulcer haemorrhage
621	pubchem.compound	338	2-hydroxybenzoic acid
622	umls	C0013295	Duodenal ulcer
623	umls	C0014742	Erythema multiforme
624	umls	C0014868	Oesophagitis
625	umls	C0018524	Hallucination
626	umls	C0018834	Heartburn
627	umls	C0019158	Hepatitis
628	umls	C0038358	Gastric ulcer
629	umls	C0232493	Epigastric pain
630	umls	C0266813	Faecal occult blood positive
631	umls	C0877047	Occult blood positive
632	umls	C0520893	Localized exfoliation
633	umls	C3665596	Warts
634	umls	C0347390	Skin papilloma
635	pubchem.compound	401	4-amino-1,2-oxazolidin-3-one
636	umls	C0001807	Aggression
637	umls	C0013182	Drug hypersensitivity
638	umls	C0029408	Osteoarthritis
639	umls	C0030552	Paresis
640	umls	C0033975	Psychotic disorder
641	umls	C0151889	Hyperreflexia
642	umls	C0233407	Disorientation
643	umls	C0234535	Clonic convulsion
644	umls	C0235031	Neurological symptom
645	pubchem.compound	444	2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one
646	umls	C0002453	Amenorrhoea
647	umls	C0002622	Amnesia
648	umls	C0002957	Anger
649	umls	C0004134	Ataxia
650	umls	C0004601	Back injury
651	umls	C0005586	Bipolar disorder
652	umls	C0853193	Bipolar I disorder
653	umls	C0006107	Concussion
654	umls	C0006142	Breast cancer
655	umls	C0006145	Breast disorder
656	umls	C0006325	Bruxism
657	umls	C0006444	Bursitis
658	umls	C0007117	Basal cell carcinoma
659	umls	C0007286	Carpal tunnel syndrome
660	umls	C0008033	Pleuritic pain
661	umls	C0008035	Chest wall pain
662	umls	C0476280	Musculoskeletal chest pain
663	umls	C0009319	Colitis
664	umls	C0009763	Conjunctivitis
665	umls	C0009938	Contusion
666	umls	C0010692	Cystitis
667	umls	C0403632	Cystitis noninfective
668	umls	C0232849	Bladder pain
669	umls	C0010709	Cyst
670	umls	C0011124	Libido decreased
671	umls	C0855242	Disturbance in sexual arousal
672	umls	C0011168	Dysphagia
673	umls	C0011253	Delusion
674	umls	C0011334	Dental caries
675	umls	C0011551	Depersonalisation
676	umls	C0011606	Dermatitis exfoliative
677	umls	C0011615	Dermatitis atopic
678	umls	C0012569	Diplopia
679	umls	C0013146	Drug abuse
680	umls	C0013384	Dyskinesia
681	umls	C0013390	Dysmenorrhoea
682	umls	C0013428	Dysuria
683	umls	C0013456	Ear pain
684	umls	C0014394	Enuresis
685	umls	C0014488	Epicondylitis
686	umls	C0014724	Eructation
687	umls	C0015371	Extrapyramidal disorder
688	umls	C0016199	Flank pain
689	umls	C0016242	Vitreous floaters
690	umls	C0016385	Cardiac flutter
691	umls	C0016397	Localised infection
692	umls	C0016436	Folliculitis
693	umls	C0016470	Food allergy
694	umls	C0016479	Food poisoning
695	umls	C0016722	Frigidity
696	umls	C0015786	Female sexual arousal disorder
697	umls	C0017160	Gastroenteritis
698	umls	C0017565	Gingival bleeding
699	umls	C0017574	Gingivitis
700	umls	C0017605	Angle closure glaucoma
701	umls	C0017979	Glycosuria
702	umls	C0018418	Gynaecomastia
703	umls	C0018520	Breath odour
704	umls	C0018621	Seasonal allergy
705	umls	C1322281	Rhinitis seasonal
706	umls	C0019196	Hepatitis C
707	umls	C0019360	Herpes zoster
708	umls	C0019372	Herpes virus infection
709	umls	C0019572	Hirsutism
710	umls	C0019917	Hordeolum
711	umls	C0020039	Hostility
712	umls	C0020175	Hunger
713	umls	C0020522	Type IV hypersensitivity reaction
714	umls	C0020565	Hypertrophy of breast
715	umls	C2225524	Breast enlargement
716	umls	C0020678	Hypotrichosis
717	umls	C0021141	Inappropriate antidiuretic hormone secretion
718	umls	C0021177	Libido increased
719	umls	C0021845	Intestinal perforation
720	umls	C0022575	Keratoconjunctivitis sicca
721	umls	C0314719	Dry eye
722	umls	C0025320	Menopause
723	umls	C0025345	Menstrual disorder
724	umls	C0025874	Metrorrhagia
725	umls	C0026603	Motion sickness
726	umls	C0026827	Hypotonia
727	umls	C1142135	Muscle relaxant therapy
728	umls	C0026837	Muscle rigidity
729	umls	C0026857	Musculoskeletal disorder
730	umls	C0027066	Myoclonus
