PubchemID	DrugbankID	DrugbankName	Smiles
1051	DB00114	Pyridoxal phosphate	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
70678590	DB00115	Cyanocobalamin	[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO
91443	DB00116	Tetrahydrofolic acid	NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
6274	DB00117	Histidine	N[C@@H](CC1=CN=CN1)C(O)=O
34755	DB00118	Ademetionine	[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O
1060	DB00119	Pyruvic acid	CC(=O)C(O)=O
6140	DB00120	L-Phenylalanine	N[C@@H](CC1=CC=CC=C1)C(O)=O
171548	DB00121	Biotin	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
305	DB00122	Choline	C[N+](C)(C)CCO
5962	DB00123	L-Lysine	NCCCC[C@H](N)C(O)=O
6322	DB00125	L-Arginine	N[C@@H](CCCNC(N)=N)C(O)=O
54670067	DB00126	Ascorbic acid	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
1103	DB00127	Spermine	NCCCNCCCCNCCCN
5960	DB00128	Aspartic acid	N[C@@H](CC(O)=O)C(O)=O
6262	DB00129	Ornithine	NCCC[C@H](N)C(O)=O
5961	DB00130	L-Glutamine	N[C@@H](CCC(N)=O)C(O)=O
6083	DB00131	Adenosine phosphate	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
5280934	DB00132	Alpha-Linolenic Acid	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
5951	DB00133	Serine	N[C@@H](CO)C(O)=O
6137	DB00134	Methionine	CSCC[C@H](N)C(O)=O
6057	DB00135	Tyrosine	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
5280453	DB00136	Calcitriol	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
5281243	DB00137	Lutein	C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
67678	DB00138	Cystine	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
1110	DB00139	Succinic acid	OC(=O)CCC(O)=O
493570	DB00140	Riboflavin	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
1738118	DB00141	N-Acetylglucosamine	[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
33032	DB00142	Glutamic Acid	N[C@@H](CCC(O)=O)C(O)=O
124886	DB00143	Glutathione	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
6323481	DB00144	Phosphatidyl serine	CCCC(=O)O[C@H](COC(=O)CC)COP(O)(=O)OC[C@H](N)C(O)=O
750	DB00145	Glycine	NCC(O)=O
5283731	DB00146	Calcifediol	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
1050	DB00147	Pyridoxal	CC1=NC=C(CO)C(C=O)=C1O
586	DB00148	Creatine	CN(CC(O)=O)C(N)=N
6106	DB00149	L-Leucine	CC(C)C[C@H](N)C(O)=O
6305	DB00150	L-Tryptophan	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
5862	DB00151	L-Cysteine	N[C@@H](CS)C(O)=O
1130	DB00152	Thiamine	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
5280793	DB00153	Ergocalciferol	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
5280581	DB00154	Dihomo-gamma-linolenic acid	CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
9750	DB00155	L-Citrulline	N[C@@H](CCCNC(N)=O)C(O)=O
6288	DB00156	L-Threonine	C[C@@H](O)[C@H](N)C(O)=O
439153	DB00157	NADH	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
6037	DB00158	Folic acid	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
446284	DB00159	Icosapent	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
5950	DB00160	L-Alanine	C[C@H](N)C(O)=O
6287	DB00161	L-Valine	CC(C)[C@H](N)C(O)=O
445354	DB00162	Vitamin A	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
14985	DB00163	Vitamin E	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
1054	DB00165	Pyridoxine	CC1=C(O)C(CO)=C(CO)C=N1
6112	DB00166	Lipoic Acid	OC(=O)CCCC[C@@H]1CCSS1
6306	DB00167	Isoleucine	CC[C@H](C)[C@H](N)C(O)=O
134601	DB00168	Aspartame	COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
5280795	DB00169	Cholecalciferol	CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
4055	DB00170	Menadione	CC1=CC(=O)C2=CC=CC=C2C1=O
5957	DB00171	ATP	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
145742	DB00172	Proline	OC(=O)[C@@H]1CCCN1
190	DB00173	Adenine	NC1=C2NC=NC2=NC=N1
6267	DB00174	Asparagine	N[C@@H](CC(N)=O)C(O)=O
54687	DB00175	Pravastatin	[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
3404	DB00176	Fluvoxamine	COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
60846	DB00177	Valsartan	CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
5362129	DB00178	Ramipril	[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
71398	DB00179	Masoprocol	C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
82153	DB00180	Flunisolide	[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
2284	DB00181	Baclofen	NCC(CC(O)=O)C1=CC=C(Cl)C=C1
3007	DB00182	Amphetamine	CC(N)CC1=CC=CC=C1
9853654	DB00183	Pentagastrin	CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
89594	DB00184	Nicotine	CN1CCC[C@H]1C1=CN=CC=C1
25137844	DB00185	Cevimeline	CC1O[C@@]2(CS1)CN1CCC2CC1
3958	DB00186	Lorazepam	OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
59768	DB00187	Esmolol	COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
387447	DB00188	Bortezomib	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
5281077	DB00189	Ethchlorvynol	CCC(O)(\C=C\Cl)C#C
34359	DB00190	Carbidopa	C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
4771	DB00191	Phentermine	CC(C)(N)CC1=CC=CC=C1
52195	DB00192	Indecainide	CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
33741	DB00193	Tramadol	COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C
21704	DB00194	Vidarabine	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
2369	DB00195	Betaxolol	CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
3365	DB00196	Fluconazole	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
5591	DB00197	Troglitazone	CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
65028	DB00198	Oseltamivir	CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
12560	DB00199	Erythromycin	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
70678542	DB00200	Hydroxocobalamin	[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
2519	DB00201	Caffeine	CN1C=NC2=C1C(=O)N(C)C(=O)N2C
5314	DB00202	Succinylcholine	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
5212	DB00203	Sildenafil	CCCC1=NN(C)C2=C1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1
71329	DB00204	Dofetilide	CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
4993	DB00205	Pyrimethamine	CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
5770	DB00206	Reserpine	[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
447043	DB00207	Azithromycin	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
5472	DB00208	Ticlopidine	ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
5284632	DB00209	Trospium	[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
60164	DB00210	Adapalene	COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
4195	DB00211	Midodrine	COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
6324659	DB00212	Remikiren	[H][C@@](CC1=CC=CC=C1)(CS(=O)(=O)C(C)(C)C)C(O)=N[C@@]([H])(CC1=CN=CN1)C(O)=N[C@@]([H])(CC1CCCCC1)[C@@]([H])(O)[C@@]([H])(O)C1CC1
4679	DB00213	Pantoprazole	COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
41781	DB00214	Torasemide	CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
2771	DB00215	Citalopram	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
77993	DB00216	Eletriptan	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
2368	DB00217	Bethanidine	CN\C(NCC1=CC=CC=C1)=N/C
152946	DB00218	Moxifloxacin	[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
5749	DB00219	Oxyphenonium	CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
64143	DB00220	Nelfinavir	[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
3762	DB00221	Isoetarine	CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
3476	DB00222	Glimepiride	[H][C@]1(C)CC[C@@]([H])(CC1)N=C(O)NS(=O)(=O)C1=CC=C(CCN=C(O)N2CC(C)=C(CC)C2=O)C=C1
71415	DB00223	Diflorasone	[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
5362440	DB00224	Indinavir	CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
24847884	DB00225	Gadodiamide	O=C1[O-][Gd+3]234567[O]=C(C[N]2(CC[N]3(CC([O-]4)=O)CC[N]5(CC(=[O]6)NC)CC(=O)[O-]7)C1)NC
38521	DB00226	Guanadrel	NC(N)=NCC1COC2(CCCCC2)O1
53232	DB00227	Lovastatin	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
3226	DB00228	Enflurane	FC(F)OC(F)(F)C(F)Cl
43708	DB00229	Cefotiam	[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
5486971	DB00230	Pregabalin	CC(C)C[C@H](CN)CC(O)=O
5391	DB00231	Temazepam	CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
4121	DB00232	Methyclothiazide	CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
4649	DB00233	Aminosalicylic Acid	NC1=CC(O)=C(C=C1)C(O)=O
127151	DB00234	Reboxetine	[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1
4197	DB00235	Milrinone	CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
4842	DB00236	Pipobroman	BrCCC(=O)N1CCN(CC1)C(=O)CCBr
2479	DB00237	Butabarbital	CCC(C)C1(CC)C(=O)NC(=O)NC1=O
4463	DB00238	Nevirapine	CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
5353853	DB00239	Oxiconazole	ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
5311000	DB00240	Alclometasone	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
2481	DB00241	Butalbital	CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
20279	DB00242	Cladribine	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
56959	DB00243	Ranolazine	COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
4075	DB00244	Mesalazine	NC1=CC(C(O)=O)=C(O)C=C1
1201549	DB00245	Benzatropine	[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
60854	DB00246	Ziprasidone	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
6540428	DB00247	Methysergide	[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
54746	DB00248	Cabergoline	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
5905	DB00249	Idoxuridine	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
2955	DB00250	Dapsone	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
441383	DB00251	Terconazole	CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
1775	DB00252	Phenytoin	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
247839	DB00253	Medrysone	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
54671203	DB00254	Doxycycline	[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
3054	DB00255	Diethylstilbestrol	CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
54707177	DB00256	Lymecycline	[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
2812	DB00257	Clotrimazole	ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
6116	DB00258	Calcium acetate	[Ca++].CC([O-])=O.CC([O-])=O
5333	DB00259	Sulfanilamide	NC1=CC=C(C=C1)S(N)(=O)=O
6234	DB00260	Cycloserine	N[C@@H]1CONC1=O
2182	DB00261	Anagrelide	ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
2578	DB00262	Carmustine	ClCCNC(=O)N(CCCl)N=O
5344	DB00263	Sulfisoxazole	CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
4171	DB00264	Metoprolol	COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
2883	DB00265	Crotamiton	CCN(C(=O)C=CC)C1=CC=CC=C1C
54676038	DB00266	Dicoumarol	OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
9570757	DB00267	Cefmenoxime	[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
5095	DB00268	Ropinirole	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
11289	DB00269	Chlorotrianisene	COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
3784	DB00270	Isradipine	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
2140	DB00271	Diatrizoate	CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
7741	DB00272	Betazole	NCCC1=CC=NN1
5284627	DB00273	Topiramate	[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
42008	DB00274	Cefmetazole	[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
158781	DB00275	Olmesartan	CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
2179	DB00276	Amsacrine	COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
2153	DB00277	Theophylline	CN1C2=C(NC=N2)C(=O)N(C)C1=O
152951	DB00278	Argatroban	C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
5920	DB00279	Liothyronine	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
3114	DB00280	Disopyramide	CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
3676	DB00281	Lidocaine	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
4674	DB00282	Pamidronic acid	NCCC(O)(P(O)(O)=O)P(O)(O)=O
26987	DB00283	Clemastine	CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
9811704	DB00284	Acarbose	[H][C@@](O)(CO)[C@@]([H])(O[C@@]1([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(C)[C@@]([H])(N[C@@]3([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O)[C@]([H])(O)[C@@]([H])(O)C=O
5656	DB00285	Venlafaxine	COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
5282226	DB00287	Travoprost	CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F
